RAM stockid,Old Area,New Area
SCALLSFA16-20,unk:Canada-DFO-SCFA16-20,can_dfo_cfa:16;can_dfo_cfa:17;can_dfo_cfa:18;can_dfo_cfa:19;can_dfo_cfa:20
LOBSTERLFA15-18,unk:Canada-DFO-LFA15-18,can_dfo_lfa:15;can_dfo_lfa:16;can_dfo_lfa:17;can_dfo_lfa:18
LOBSTERLFA19-21,unk:Canada-DFO-LFA19-21,can_dfo_lfa:19;can_dfo_lfa:21
LOBSTERLFA22,unk:Canada-DFO-LFA22,can_dfo_lfa:22
LOBSTERLFA23-26AB,other:Canadian Lobster Fishing Area 23;other:Canadian Lobster Fishing Area 24;other:Canadian Lobster Fishing Area 25;other:Canadian Lobster Fishing Area 26A;other:Canadian Lobster Fishing Area 26B,can_dfo_lfa:23;can_dfo_lfa:24;can_dfo_lfa:25;can_dfo_lfa:26A;can_dfo_lfa:26B
LOBSTERLFA27-33,unk:Canada-DFO-LFA27-33,can_dfo_lfa:27;can_dfo_lfa:28;can_dfo_lfa:29;can_dfo_lfa:30;can_dfo_lfa:31;can_dfo_lfa:32;can_dfo_lfa:33
LOBSTERLFA3-14,unk:Canada-DFO-LFA3-14,can_dfo_lfa:3;can_dfo_lfa:4;can_dfo_lfa:5;can_dfo_lfa:6;can_dfo_lfa:7;can_dfo_lfa:8;can_dfo_lfa:9;can_dfo_lfa:10;can_dfo_lfa:11;can_dfo_lfa:12;can_dfo_lfa:13;can_dfo_lfa:14
LOBSTERLFA34,unk:Canada-DFO-LFA34,can_dfo_lfa:34
LOBSTERLFA35-38,unk:Canada-DFO-LFA35-38,can_dfo_lfa:35;can_dfo_lfa:36;can_dfo_lfa:37;can_dfo_lfa:38
LOBSTERLFA41,unk:Canada-DFO-LFA41,can_dfo_lfa:41
WROCKBCW,unk:Canada-DFO-BCW,can_dfo_pfmc:3C;can_dfo_pfmc:3D;can_dfo_pfmc:5A;can_dfo_pfmc:5B;can_dfo_pfmc:5C;can_dfo_pfmc:5D;can_dfo_pfmc:5E
PERCHWCVANI,unk:Canada-DFO-WCVANI,can_dfo_pfmc:3C;can_dfo_pfmc: 3D
BIGSKA3CD,unk:Canada-DFO-WCVANI,can_dfo_pfmc:3C;can_dfo_pfmc:3D
LNOSESKA3CD,unk:Canada-DFO-WCVANI,can_dfo_pfmc:3C;can_dfo_pfmc:3D
SABLEFPCAN,unk:Canada-DFO-PCOAST,can_dfo_pfmc:3C;can_dfo_pfmc:3D;can_dfo_pfmc:4B;can_dfo_pfmc:5A;can_dfo_pfmc:5B;can_dfo_pfmc:5C;can_dfo_pfmc:5D;can_dfo_pfmc:5E
RSROCKBCWS,unk:Canada-DFO-BCWS,can_dfo_pfmc:3C;can_dfo_pfmc:3D;can_dfo_pfmc:5A;can_dfo_pfmc:5B;can_dfo_pfmc:5C
BOCACCBCW,unk:Canada-DFO-BCW,can_dfo_pfmc:3C;can_dfo_pfmc:3D;can_dfo_pfmc:5A;can_dfo_pfmc:5B;can_dfo_pfmc:5C;can_dfo_pfmc:5D;can_dfo_pfmc:5E
CROCKWCVANISOGQCI,unk:Canada-DFO-WCVANI-SOG-QCI,can_dfo_pfmc:3C;can_dfo_pfmc:3D;can_dfo_pfmc:5A;can_dfo_pfmc:5B;can_dfo_pfmc:5C;can_dfo_pfmc:5D;can_dfo_pfmc:5E
BIGSKA4B,unk:Canada-DFO-SOG,can_dfo_pfmc:4B
LNOSESKA4B,unk:Canada-DFO-SOG,can_dfo_pfmc:4B
PERCHQCI,unk:Canada-DFO-HG,can_dfo_pfmc:5A;can_dfo_pfmc:5B;can_dfo_pfmc:5C
PCOD5ABCD,unk:Canada-DFO-5ABCD,can_dfo_pfmc:5A;can_dfo_pfmc:5B;can_dfo_pfmc:5C;can_dfo_pfmc:5D
BIGSKA5CDE,unk:Canada-DFO-HS,can_dfo_pfmc:5C;can_dfo_pfmc:5D;can_dfo_pfmc:5E
RSOLEHSTR,unk:Canada-DFO-HS,can_dfo_pfmc:5C;can_dfo_pfmc:5D
LNOSESKA5CDE,unk:Canada-DFO-HS,can_dfo_pfmc:5C;can_dfo_pfmc:5D;can_dfo_pfmc:5E
RSROCKBCWN,unk:Canada-DFO-BCWN,can_dfo_pfmc:5D;can_dfo_pfmc:5E
ARCSURFQCW,unk:Canada-DFO-QCW,can_dfo_scfa:1A;can_dfo_scfa:1B;can_dfo_scfa:2;can_dfo_scfa:3A;can_dfo_scfa:3B;can_dfo_scfa:4A;can_dfo_scfa:4B;can_dfo_scfa:4C;can_dfo_scfa:5A;can_dfo_scfa:5B
OFSCIQCU3,unk:Canada-DFO-IQCU3,can_dfo_scmu:3
OFSCIQCUB,unk:Canada-DFO-IQCUB,can_dfo_scmu:B
OFSCIQCUC,unk:Canada-DFO-IQCUC,can_dfo_scmu:C
SCALLNBB,unk:Canada-DFO-NBB,can_dfo_sfa_sca:26
SCALLWSFA29,unk:Canada-DFO-WSFA29,can_dfo_sfa_sca:29;fao:21.4.x
STRSHRIMPSFA2-3,unk:Canada-DFO-SFA2-3,can_dfo_sfa_shp:2;can_dfo_sfa_shp:3
PANDALSFA2-3,unk:Canada-DFO-SFA2-3,can_dfo_sfa_shp:2;can_dfo_sfa_shp:3
PANDALSFA4,unk:Canada-DFO-SFA4,can_dfo_sfa_shp:4
PANDALSFA6,unk:Canada-DFO-SFA6,can_dfo_sfa_shp:6
SNOWCRABSCMA12-17,unk:Canada-DFO-SCMA12-17,can_dfo_sma:12;can_dfo_sma:13;can_dfo_sma:14;can_dfo_sma:15;can_dfo_sma:16;can_dfo_sma:17
PANDALSMA14,unk:Canada-DFO-SMA-14,can_dfo_sma:14
SSSHRIMPSMA14,unk:Canada-DFO-SMA-14,can_dfo_sma:14
PANDALSMA16,unk:Canada-DFO-SMA-16,can_dfo_sma:16
SSSHRIMPSMA16,unk:Canada-DFO-SMA-16,can_dfo_sma:16
SSSHRIMPSMA18-19,unk:Canada-DFO-SMA-18-19,can_dfo_sma:18;can_dfo_sma:19
PANDALSMA18-19,unk:Canada-DFO-SMA-18-19,can_dfo_sma:18;can_dfo_sma:19
SSSHRIMPSMAFR,unk:Canada-DFO-SMA-FR,can_dfo_sma:FR
PANDALSMAFR,unk:Canada-DFO-SMA-FR,can_dfo_sma:FR
PANDALSMAGTSE,unk:Canada-DFO-SMA-GTSE,can_dfo_sma:GSTE
SSHRIMPSMAGTSE,unk:Canada-DFO-SMA-GTSE,can_dfo_sma:GSTE
PANDALSMAPRD,unk:Canada-DFO-SMA-PRD,can_dfo_sma:PRD
SSHRIMPSMAPRD,unk:Canada-DFO-SMA-PRD,can_dfo_sma:PRD
SCALLSPA1-6,unk:Canada-DFO-SPA1-6,can_dfo_spa_sca:1A;can_dfo_spa_sca:1B;can_dfo_spa_sca:2;can_dfo_spa_sca:3;can_dfo_spa_sca:4;can_dfo_spa_sca:5;can_dfo_spa_sca:6
WPOLLBCWS,unk:Canada-DFO-BCWS,can_dfo_pfmc:3C;can_dfo_pfmc:3D;can_dfo_pfmc:5A;can_dfo_pfmc:5B;can_dfo_pfmc:12;can_dfo_pfmc:20
WPOLLBCWN,unk:Canada-DFO-BCWN,can_dfo_pfmc:5C;can_dfo_pfmc:5D;can_dfo_pfmc:5E
SARDNWAZAB,unk:multinational-FAO-NWAZAB,cecaf:A+B
SARDNWAZC,unk:multinational-FAO-NWAZC,cecaf:C
